FDATE,CDATE,DCN,SEQNUM,FORMTYPE,PERSONID,OWNER,SECID,TICKER,CUSIP6,CUSIP2,CNAME,ROLECODE1,ROLECODE2,ROLECODE3,ROLECODE4,TRANCODE,ACQDISP,TRANDATE,TPRICE,OWNERSHIP,SHARES,SHARESHELD,AMEND,SECDATE,SIGDATE,MAINTDATE,CLEANSE,TRANCODE_AR,ACQDISP_AR,TPRICE_AR,TRANDATE_AR,OPTIONSELL,SECTITLE,SHARES_ADJ,SHARESHELD_ADJ,TPRICE_ADJ,ADDRESS1,ADDRESS2,CITY,STATE,ZIPCODE,COUNTRY,PHONE,CNUM,SECTOR,INDUSTRY,CEO_INDEX,GOOGLE_TRENDS_KEY,SVI,SVI_DATE
2009/04/09,2004/10/16,041012104,1,4,14427,SIMMONS HARRIS H,10229,ZION,989701,10,ZIONS BANCORPORATION,CEO,P,CB,OD,G,D,2004/08/30,,D,1600.0000,297801.0000,,2004/09/01,2004/09/01,2009/04/08,R,G,D,,2004/08/30,,COM,1600.0000,297801.0000,,1  MAIN ST,STE 1134,SALT LAKE CITY,UT,84111,,,Z999786106,01,04,505,Harris H Simmons,0,2004-08-01
2009/04/09,2004/10/16,041012104,2,4,14427,SIMMONS HARRIS H,10229,ZION,989701,10,ZIONS BANCORPORATION,CEO,P,CB,OD,8,,2004/09/01,,I,,55709.9000,,2004/09/01,2004/09/01,2009/04/08,Y,,,,2004/09/01,,COM,,55709.9000,,1  MAIN ST,STE 1134,SALT LAKE CITY,UT,84111,,,Z999786106,01,04,505,Harris H Simmons,0,2004-09-01
2009/04/09,2004/10/16,041012104,3,4,14427,SIMMONS HARRIS H,10229,ZION,989701,10,ZIONS BANCORPORATION,CEO,P,CB,OD,8,,2004/09/01,,I,,1814490.0000,,2004/09/01,2004/09/01,2009/04/08,Y,,,,2004/09/01,,COM,,1814490.0000,,1  MAIN ST,STE 1134,SALT LAKE CITY,UT,84111,,,Z999786106,01,04,505,Harris H Simmons,0,2004-09-01
2009/04/09,2004/10/16,041012104,4,4,14427,SIMMONS HARRIS H,10229,ZION,989701,10,ZIONS BANCORPORATION,CEO,P,CB,OD,8,,2004/09/01,,I,,38069.0000,,2004/09/01,2004/09/01,2009/04/08,Y,,,,2004/09/01,,COM,,38069.0000,,1  MAIN ST,STE 1134,SALT LAKE CITY,UT,84111,,,Z999786106,01,04,505,Harris H Simmons,0,2004-09-01
2009/04/09,2004/10/16,041012104,5,4,14427,SIMMONS HARRIS H,10229,ZION,989701,10,ZIONS BANCORPORATION,CEO,P,CB,OD,8,,2004/09/01,,I,,192929.0000,,2004/09/01,2004/09/01,2009/04/08,Y,,,,2004/09/01,,COM,,192929.0000,,1  MAIN ST,STE 1134,SALT LAKE CITY,UT,84111,,,Z999786106,01,04,505,Harris H Simmons,0,2004-09-01
2009/04/09,2004/10/16,041012104,6,4,14427,SIMMONS HARRIS H,10229,ZION,989701,10,ZIONS BANCORPORATION,CEO,P,CB,OD,8,,2004/09/01,,I,,2000.0000,,2004/09/01,2004/09/01,2009/04/08,Y,,,,2004/09/01,,COM,,2000.0000,,1  MAIN ST,STE 1134,SALT LAKE CITY,UT,84111,,,Z999786106,01,04,505,Harris H Simmons,0,2004-09-01
2009/04/09,2004/10/16,041012104,7,4,14427,SIMMONS HARRIS H,10229,ZION,989701,10,ZIONS BANCORPORATION,CEO,P,CB,OD,8,,2004/09/01,,I,,2090.0000,,2004/09/01,2004/09/01,2009/04/08,Y,,,,2004/09/01,,COM,,2090.0000,,1  MAIN ST,STE 1134,SALT LAKE CITY,UT,84111,,,Z999786106,01,04,505,Harris H Simmons,0,2004-09-01
2014/12/15,2004/09/02,041012178,1,4,15037329,DE GEUS AART J,8951,SNPS,871607,10,SYNOPSYS INC,CEO,CB,OD,,J,A,2004/08/31,13.57,D,511.0000,575872.0000,,2004/09/01,2004/09/01,2014/12/15,R,J,A,13.57,2004/08/31,,COM,511.0000,575872.0000,13.5700,700 E MIDDLEFIELD RD,,MOUNTAIN VIEW,CA,94043,,,S912500000,08,04,429,Aart de Geus,0,2004-08-01
2014/12/15,2004/09/02,041012178,2,4,15037329,DE GEUS AART J,8951,SNPS,871607,10,SYNOPSYS INC,CEO,CB,OD,,8,,2004/09/01,,I,,22000.0000,,2004/09/01,2004/09/01,2014/12/15,Y,,,,2004/09/01,,COM,,22000.0000,,700 E MIDDLEFIELD RD,,MOUNTAIN VIEW,CA,94043,,,S912500000,08,04,429,Aart de Geus,0,2004-09-01
2014/09/30,2004/10/14,041012422,1,4,16012691,GRANT HUGH M,26331,MON,61166W,10,MONSANTO CO NEW,CEO,P,CB,OD,M,A,2004/08/31,20.00,D,40000.0000,,,2004/09/02,2004/09/02,2014/09/28,R,M,A,20.00,2004/08/31,,COM,80000.0000,,10.0000,800 N LINDBERGH BLVD,,ST LOUIS,MO,63167,,,M770250000,09,02,318,Hugh Grant,0,2004-08-01
