FDATE,CDATE,DCN,SEQNUM,FORMTYPE,PERSONID,OWNER,SECID,TICKER,CUSIP6,CUSIP2,CNAME,ROLECODE1,ROLECODE2,ROLECODE3,ROLECODE4,TRANCODE,ACQDISP,TRANDATE,TPRICE,OWNERSHIP,SHARES,SHARESHELD,AMEND,SECDATE,SIGDATE,MAINTDATE,CLEANSE,TRANCODE_AR,ACQDISP_AR,TPRICE_AR,TRANDATE_AR,OPTIONSELL,SECTITLE,SHARES_ADJ,SHARESHELD_ADJ,TPRICE_ADJ,ADDRESS1,ADDRESS2,CITY,STATE,ZIPCODE,COUNTRY,PHONE,CNUM,SECTOR,INDUSTRY,CEO_INDEX,GOOGLE_TRENDS_KEY,SVI,SVI_DATE
2014/09/30,2004/10/14,041012422,2,4,16012691,GRANT HUGH M,26331,MON,61166W,10,MONSANTO CO NEW,CEO,P,CB,OD,S,D,2004/08/31,36.54,D,100.0000,,,2004/09/02,2004/09/02,2014/09/28,R,S,D,36.54,2004/08/31,A,COM,200.0000,,18.2700,800 N LINDBERGH BLVD,,ST LOUIS,MO,63167,,,M770250000,09,02,318,Hugh Grant,0,2004-08-01
2014/09/30,2004/10/14,041012422,3,4,16012691,GRANT HUGH M,26331,MON,61166W,10,MONSANTO CO NEW,CEO,P,CB,OD,S,D,2004/08/31,36.53,D,500.0000,,,2004/09/02,2004/09/02,2014/09/28,R,S,D,36.53,2004/08/31,A,COM,1000.0000,,18.2650,800 N LINDBERGH BLVD,,ST LOUIS,MO,63167,,,M770250000,09,02,318,Hugh Grant,0,2004-08-01
2014/09/30,2004/10/14,041012422,4,4,16012691,GRANT HUGH M,26331,MON,61166W,10,MONSANTO CO NEW,CEO,P,CB,OD,S,D,2004/08/31,36.52,D,3400.0000,,,2004/09/02,2004/09/02,2014/09/28,R,S,D,36.52,2004/08/31,A,COM,6800.0000,,18.2600,800 N LINDBERGH BLVD,,ST LOUIS,MO,63167,,,M770250000,09,02,318,Hugh Grant,0,2004-08-01
2014/09/30,2004/10/14,041012422,5,4,16012691,GRANT HUGH M,26331,MON,61166W,10,MONSANTO CO NEW,CEO,P,CB,OD,S,D,2004/08/31,36.51,D,1000.0000,,,2004/09/02,2004/09/02,2014/09/28,R,S,D,36.51,2004/08/31,A,COM,2000.0000,,18.2550,800 N LINDBERGH BLVD,,ST LOUIS,MO,63167,,,M770250000,09,02,318,Hugh Grant,0,2004-08-01
2014/09/30,2004/10/14,041012422,6,4,16012691,GRANT HUGH M,26331,MON,61166W,10,MONSANTO CO NEW,CEO,P,CB,OD,S,D,2004/08/31,36.50,D,24565.0000,84068.0000,,2004/09/02,2004/09/02,2014/09/28,R,S,D,36.50,2004/08/31,A,COM,49130.0000,168136.0000,18.2500,800 N LINDBERGH BLVD,,ST LOUIS,MO,63167,,,M770250000,09,02,318,Hugh Grant,0,2004-08-01
2014/09/30,2004/10/14,041012422,7,4,16012691,GRANT HUGH M,26331,MON,61166W,10,MONSANTO CO NEW,CEO,P,CB,OD,8,,2004/09/02,,I,,9060.0000,,2004/09/02,2004/09/02,2014/09/28,Y,,,,2004/09/02,,COM,,18120.0000,,800 N LINDBERGH BLVD,,ST LOUIS,MO,63167,,,M770250000,09,02,318,Hugh Grant,0,2004-09-01
2012/11/07,2004/09/02,041012444,1,4,16125443,STANKEY JOHN T,8109,T,00206R,10,AT&T INC,CT,O,EVP,,8,,2004/09/01,,D,,23314.0000,,2004/09/02,2004/09/01,2012/11/06,Y,,,,2004/09/01,,COM,,23314.0000,,175 E HOUSTON ST,,SAN ANTONIO,TX,782052233,,,A849875003,04,01,60,John T. Stankey,38,2004-09-01
2012/11/07,2004/09/02,041012444,2,4,16125443,STANKEY JOHN T,8109,T,00206R,10,AT&T INC,CT,O,EVP,,8,,2004/09/01,,I,,1969.8800,,2004/09/02,2004/09/01,2012/11/06,Y,,,,2004/09/01,,COM,,1969.8800,,175 E HOUSTON ST,,SAN ANTONIO,TX,782052233,,,A849875003,04,01,60,John T. Stankey,38,2004-09-01
2012/11/07,2004/09/02,041012444,3,4,16125443,STANKEY JOHN T,8109,T,00206R,10,AT&T INC,CT,O,EVP,,A,A,2004/08/31,25.79,I,287.9020,17869.6000,,2004/09/02,2004/09/01,2012/11/06,H,A,A,25.79,2004/08/31,,COM,287.9020,17869.6000,25.7900,175 E HOUSTON ST,,SAN ANTONIO,TX,782052233,,,A849875003,04,01,60,John T. Stankey,41,2004-08-01
2012/11/07,2004/09/02,041012444,4,4,16125443,STANKEY JOHN T,8109,T,00206R,10,AT&T INC,CT,O,EVP,,8,,2004/09/01,,I,,2856.0000,,2004/09/02,2004/09/01,2012/11/06,Y,,,,2004/09/01,,COM,,2856.0000,,175 E HOUSTON ST,,SAN ANTONIO,TX,782052233,,,A849875003,04,01,60,John T. Stankey,38,2004-09-01
2007/08/17,2004/09/02,041013218,1,4,14000253,MOGHADAM HAMID R,7481,PCL,729251,10,PLUM CREEK TIMBER CO INC,D,,,,A,A,2004/08/31,33.04,I,97.1400,9266.9000,,2004/09/02,2004/09/01,2004/10/21,H,A,A,33.04,2004/08/31,,COM,97.1400,9266.9000,33.0400,999 THIRD AVE,STE 2300,SEATTLE,WA,981040096,,,P584197500,01,06,378,Hamid Moghadam,0,2004-08-01
2007/08/17,2004/09/03,041014791,1,4,16104638,MOORTHY GANESH,6252,MCHP,595017,10,MICROCHIP TECHNOLOGY INC,O,OX,,,A,A,2004/09/01,22.81,D,629.0000,629.0000,,2004/09/02,2004/09/02,2004/09/04,H,A,A,22.81,2004/09/01,,COM,629.0000,629.0000,22.8100,2355 WEST CHANDLER BLVD,,CHANDLER,AZ,852246199,,,M519697500,08,08,311,Ganesh Moorthy,0,2004-09-01
2007/08/17,2004/09/03,041014791,2,4,16104638,MOORTHY GANESH,6252,MCHP,595017,10,MICROCHIP TECHNOLOGY INC,O,OX,,,8,,2004/09/02,,I,,11751.0000,,2004/09/02,2004/09/02,2004/09/03,Y,,,,2004/09/02,,COM,,11751.0000,,2355 WEST CHANDLER BLVD,,CHANDLER,AZ,852246199,,,M519697500,08,08,311,Ganesh Moorthy,0,2004-09-01
2015/09/25,2004/09/04,041015787,1,4,12044843,LESAR DAVID J,4471,HAL,406216,10,HALLIBURTON CO,CEO,P,CB,OD,D,D,2004/09/02,29.20,D,2500.0000,,,2004/09/03,2004/09/02,2015/09/24,R,D,D,29.20,2004/09/02,N,COM,5000.0000,,14.6000,4100 CLINTON CTR,BLDG 01 7TH FL,HOUSTON,TX,77020,,,H070400000,06,01,100,David J. Lesar,68,2004-09-01
2015/09/25,2004/09/04,041015787,2,4,12044843,LESAR DAVID J,4471,HAL,406216,10,HALLIBURTON CO,CEO,P,CB,OD,D,D,2004/09/02,31.43,D,500.0000,755366.0000,,2004/09/03,2004/09/02,2015/09/24,R,D,D,31.43,2004/09/02,N,COM,1000.0000,1510732.0000,15.7150,4100 CLINTON CTR,BLDG 01 7TH FL,HOUSTON,TX,77020,,,H070400000,06,01,100,David J. Lesar,68,2004-09-01
2015/09/25,2004/09/04,041015787,3,4,12044843,LESAR DAVID J,4471,HAL,406216,10,HALLIBURTON CO,CEO,P,CB,OD,8,,2004/09/02,,I,,20000.0000,,2004/09/03,2004/09/02,2015/09/24,Y,,,,2004/09/02,,COM,,40000.0000,,4100 CLINTON CTR,BLDG 01 7TH FL,HOUSTON,TX,77020,,,H070400000,06,01,100,David J. Lesar,68,2004-09-01
2007/08/17,2004/09/07,041017835,1,4,15019487,DONALD ARNOLD WAYNE,8096,,782352,10,RUSSELL CORP,D,,,,P,A,2004/09/03,18.04,D,5550.0000,5550.0000,,2004/09/07,2004/09/07,2004/09/07,R,P,A,18.04,2004/09/03,,COM,5550.0000,5550.0000,18.0400,1 N BRENTWOOD BLVD,STE 510,CLAYTON,MO,63105,,,R937650000,03,01,93,Arnold W. Donald,0,2004-09-01
2009/04/24,2004/09/07,041018082,1,4,12056212,DECKER W PATRICK,5505,,501052,10,KRONOS INC,D,,,,S,D,2004/09/03,43.07,D,2000.0000,18830.0000,,2004/09/07,2004/09/07,2009/04/23,R,S,D,43.07,2004/09/03,N,COM,2000.0000,18830.0000,43.0700,273 N SHORE RD,,NEW DURHAM,NH,03855,,,K950250000,08,04,502,Patrick Decker,0,2004-09-01
2009/04/24,2004/09/08,041019666,1,4,12056212,DECKER W PATRICK,5505,,501052,10,KRONOS INC,D,,,,S,D,2004/09/07,43.00,D,3000.0000,15830.0000,,2004/09/08,2004/09/08,2009/04/23,R,S,D,43.00,2004/09/07,N,COM,3000.0000,15830.0000,43.0000,273 N SHORE RD,,NEW DURHAM,NH,03855,,,K950250000,08,04,502,Patrick Decker,0,2004-09-01
2007/08/17,2004/09/09,041021693,1,4,13100646,MORIKIS JOHN G,8419,SHW,824348,10,SHERWIN WILLIAMS CO,O,OX,,,M,A,2004/09/07,20.25,D,33334.0000,106074.0000,,2004/09/09,2004/09/09,2004/09/09,R,M,A,20.25,2004/09/07,,COM,33334.0000,106074.0000,20.2500,101 PROSPECT AVE N W,,CLEVELAND,OH,44115,,,S332100000,09,02,413,John G. Morikis,0,2004-09-01
2007/08/17,2004/09/09,041021693,2,4,13100646,MORIKIS JOHN G,8419,SHW,824348,10,SHERWIN WILLIAMS CO,O,OX,,,8,,2004/06/30,,I,,12457.4000,,2004/09/09,2004/09/09,2004/09/09,Y,,,,2004/06/30,,COM,,12457.4000,,101 PROSPECT AVE N W,,CLEVELAND,OH,44115,,,S332100000,09,02,413,John G. Morikis,0,2004-06-01
2014/09/30,2004/09/13,041021739,1,4,15015145,GRANT HUGH N,26331,MON,61166W,10,MONSANTO CO NEW,CEO,P,CB,OD,M,A,2004/09/07,20.00,D,40000.0000,,,2004/09/09,2004/09/09,2014/09/28,R,M,A,20.00,2004/09/07,,COM,80000.0000,,10.0000,800 N LINDBERGH BLVD,,ST LOUIS,MO,63167,,,M770250000,09,02,318,Hugh Grant,0,2004-09-01
2014/09/30,2004/09/13,041021739,2,4,15015145,GRANT HUGH N,26331,MON,61166W,10,MONSANTO CO NEW,CEO,P,CB,OD,S,D,2004/09/07,37.30,D,500.0000,,,2004/09/09,2004/09/09,2014/09/28,R,S,D,37.30,2004/09/07,A,COM,1000.0000,,18.6500,800 N LINDBERGH BLVD,,ST LOUIS,MO,63167,,,M770250000,09,02,318,Hugh Grant,0,2004-09-01
2014/09/30,2004/09/13,041021739,3,4,15015145,GRANT HUGH N,26331,MON,61166W,10,MONSANTO CO NEW,CEO,P,CB,OD,S,D,2004/09/07,37.29,D,22065.0000,,,2004/09/09,2004/09/09,2014/09/28,R,S,D,37.29,2004/09/07,A,COM,44130.0000,,18.6450,800 N LINDBERGH BLVD,,ST LOUIS,MO,63167,,,M770250000,09,02,318,Hugh Grant,0,2004-09-01
2014/09/30,2004/09/13,041021739,4,4,15015145,GRANT HUGH N,26331,MON,61166W,10,MONSANTO CO NEW,CEO,P,CB,OD,S,D,2004/09/07,37.27,D,500.0000,,,2004/09/09,2004/09/09,2014/09/28,R,S,D,37.27,2004/09/07,A,COM,1000.0000,,18.6350,800 N LINDBERGH BLVD,,ST LOUIS,MO,63167,,,M770250000,09,02,318,Hugh Grant,0,2004-09-01
2014/09/30,2004/09/13,041021739,5,4,15015145,GRANT HUGH N,26331,MON,61166W,10,MONSANTO CO NEW,CEO,P,CB,OD,S,D,2004/09/07,37.26,D,900.0000,,,2004/09/09,2004/09/09,2014/09/28,R,S,D,37.26,2004/09/07,A,COM,1800.0000,,18.6300,800 N LINDBERGH BLVD,,ST LOUIS,MO,63167,,,M770250000,09,02,318,Hugh Grant,0,2004-09-01
2014/09/30,2004/09/13,041021739,6,4,15015145,GRANT HUGH N,26331,MON,61166W,10,MONSANTO CO NEW,CEO,P,CB,OD,S,D,2004/09/07,37.20,D,4100.0000,,,2004/09/09,2004/09/09,2014/09/28,R,S,D,37.20,2004/09/07,A,COM,8200.0000,,18.6000,800 N LINDBERGH BLVD,,ST LOUIS,MO,63167,,,M770250000,09,02,318,Hugh Grant,0,2004-09-01
2014/09/30,2004/09/13,041021739,7,4,15015145,GRANT HUGH N,26331,MON,61166W,10,MONSANTO CO NEW,CEO,P,CB,OD,S,D,2004/09/07,37.19,D,1500.0000,94503.0000,,2004/09/09,2004/09/09,2014/09/28,R,S,D,37.19,2004/09/07,A,COM,3000.0000,189006.0000,18.5950,800 N LINDBERGH BLVD,,ST LOUIS,MO,63167,,,M770250000,09,02,318,Hugh Grant,0,2004-09-01
2014/09/30,2004/09/13,041021739,8,4,15015145,GRANT HUGH N,26331,MON,61166W,10,MONSANTO CO NEW,CEO,P,CB,OD,8,,2004/09/09,,I,,9104.0000,,2004/09/09,2004/09/09,2014/09/28,Y,,,,2004/09/09,,COM,,18208.0000,,800 N LINDBERGH BLVD,,ST LOUIS,MO,63167,,,M770250000,09,02,318,Hugh Grant,0,2004-09-01
2007/08/17,2004/09/09,041022436,1,4,13100646,MORIKIS JOHN G,8419,SHW,824348,10,SHERWIN WILLIAMS CO,O,OX,,,S,D,2004/09/09,40.51,D,4400.0000,,,2004/09/09,2004/09/09,2004/09/09,L,S,D,40.51,2004/09/09,N,COM,4400.0000,,40.5100,101 PROSPECT AVE N W,,CLEVELAND,OH,44115,,,S332100000,09,02,413,John G. Morikis,0,2004-09-01
2007/08/17,2004/09/09,041022436,2,4,13100646,MORIKIS JOHN G,8419,SHW,824348,10,SHERWIN WILLIAMS CO,O,OX,,,S,D,2004/09/09,40.58,D,372.0000,101302.0000,,2004/09/09,2004/09/09,2004/09/09,L,S,D,40.58,2004/09/09,N,COM,372.0000,101302.0000,40.5800,101 PROSPECT AVE N W,,CLEVELAND,OH,44115,,,S332100000,09,02,413,John G. Morikis,0,2004-09-01
2007/08/17,2004/09/09,041022436,3,4,13100646,MORIKIS JOHN G,8419,SHW,824348,10,SHERWIN WILLIAMS CO,O,OX,,,8,,2004/06/30,,I,,12457.4000,,2004/09/09,2004/09/09,2004/09/09,Y,,,,2004/06/30,,COM,,12457.4000,,101 PROSPECT AVE N W,,CLEVELAND,OH,44115,,,S332100000,09,02,413,John G. Morikis,0,2004-06-01
2016/02/26,2004/09/10,041025212,1,4,12016938,FAIRBANK RICHARD D,1830,COF,14040H,10,CAPITAL ONE FINANCIAL CORP,CEO,P,CB,OD,G,D,2004/08/27,,D,1450.0000,710398.0000,,2004/09/10,2004/09/10,2016/02/24,R,G,D,,2004/08/27,,COM,1450.0000,710398.0000,,2000 PURCHASE ST,,PURCHASE,NY,105772509,,,C114872500,01,02,90,Richard Fairbank,0,2004-08-01
2016/02/26,2004/09/10,041025212,2,4,12016938,FAIRBANK RICHARD D,1830,COF,14040H,10,CAPITAL ONE FINANCIAL CORP,CEO,P,CB,OD,8,,2004/09/10,,I,,107502.0000,,2004/09/10,2004/09/10,2016/02/24,Y,,,,2004/09/10,,COM,,107502.0000,,2000 PURCHASE ST,,PURCHASE,NY,105772509,,,C114872500,01,02,90,Richard Fairbank,30,2004-09-01
2010/03/18,2004/09/10,041025758,1,4,12523595,ROGERS WILLIAM ALLEN II,5044,IIIN,45774W,10,INSTEEL INDUSTRIES INC,D,,,,P,A,2004/09/10,12.73,D,200.0000,,,2004/09/10,2004/09/10,2010/03/17,L,P,A,12.73,2004/09/10,,COM,400.0000,,6.3650,3859 BONWOOD DR,,CHARLOTTE,NC,28211,,,I342170000,09,01,426,William H Rogers Jr,0,2004-09-01
2010/03/18,2004/09/10,041025758,2,4,12523595,ROGERS WILLIAM ALLEN II,5044,IIIN,45774W,10,INSTEEL INDUSTRIES INC,D,,,,P,A,2004/09/10,12.81,D,800.0000,9015.0000,,2004/09/10,2004/09/10,2010/03/17,L,P,A,12.81,2004/09/10,,COM,1600.0000,18030.0000,6.4050,3859 BONWOOD DR,,CHARLOTTE,NC,28211,,,I342170000,09,01,426,William H Rogers Jr,0,2004-09-01
2007/08/17,2004/09/13,041027062,1,4,13100646,MORIKIS JOHN G,8419,SHW,824348,10,SHERWIN WILLIAMS CO,O,OX,,,S,D,2004/09/10,40.50,D,33334.0000,67968.0000,,2004/09/13,2004/09/13,2004/09/13,R,S,D,40.50,2004/09/10,N,COM,33334.0000,67968.0000,40.5000,101 PROSPECT AVE N W,,CLEVELAND,OH,44115,,,S332100000,09,02,413,John G. Morikis,0,2004-09-01
2007/08/17,2004/09/13,041027062,2,4,13100646,MORIKIS JOHN G,8419,SHW,824348,10,SHERWIN WILLIAMS CO,O,OX,,,8,,2004/06/30,,I,,12457.4000,,2004/09/13,2004/09/13,2004/09/13,Y,,,,2004/06/30,,COM,,12457.4000,,101 PROSPECT AVE N W,,CLEVELAND,OH,44115,,,S332100000,09,02,413,John G. Morikis,0,2004-06-01
2007/08/17,2004/09/13,041027107,1,4,14016160,KESSLER MURRAY S,9462,UST,902911,10,UST INC,O,OS,,,8,,2004/09/13,,D,,89400.0000,,2004/09/13,2004/09/13,2004/09/13,Y,,,,2004/09/13,,COM,,89400.0000,,100 W PUTNAM AVE,,GREENWICH,CT,06830,,,U951512011,03,09,362,Murray S. Kessler,0,2004-09-01
2007/08/17,2004/09/13,041027107,2,4,14016160,KESSLER MURRAY S,9462,UST,902911,10,UST INC,O,OS,,,8,,2004/08/31,,I,,1865.0000,,2004/09/13,2004/09/13,2004/09/13,Y,,,,2004/08/31,,COM,,1865.0000,,100 W PUTNAM AVE,,GREENWICH,CT,06830,,,U951512011,03,09,362,Murray S. Kessler,0,2004-08-01
2007/08/17,2004/09/13,041027231,1,4,14016160,KESSLER MURRAY S,9462,UST,902911,10,UST INC,O,OS,,,8,,2004/09/13,,D,,89400.0000,A,2004/09/13,2004/09/13,2004/09/13,Y,,,,2004/09/13,,COM,,89400.0000,,100 W PUTNAM AVE,,GREENWICH,CT,06830,,,U951512011,03,09,362,Murray S. Kessler,0,2004-09-01
2007/08/17,2004/09/13,041027231,2,4,14016160,KESSLER MURRAY S,9462,UST,902911,10,UST INC,O,OS,,,8,,2004/08/31,,I,,1865.0000,A,2004/09/13,2004/09/13,2004/09/13,Y,,,,2004/08/31,,COM,,1865.0000,,100 W PUTNAM AVE,,GREENWICH,CT,06830,,,U951512011,03,09,362,Murray S. Kessler,0,2004-08-01
2015/05/05,2004/09/15,041028299,1,4,12046152,SIMON DAVID E,8471,SPG,828806,10,SIMON PROPERTY GROUP INC DE,CEO,OD,,,P,A,2004/09/13,53.70,D,50000.0000,279600.0000,,2004/09/13,2004/09/13,2015/05/03,R,P,A,53.70,2004/09/13,,COM,25000.0000,139800.0000,107.4000,115 W WASHINGTON ST,,INDIANAPOLIS,IN,46204,,,S396662500,01,06,415,David Simon,0,2004-09-01
2016/03/15,2004/09/14,041029381,1,4,14046607,HOGAN JOSEPH M,4110,GE,369604,10,GENERAL ELECTRIC CO,O,SVP,,,M,A,2004/09/10,,D,10000.0000,,,2004/09/14,2004/09/14,2016/03/12,R,M,A,,2004/09/10,,COM,10000.0000,,,3135 EASTON TPKE,,FAIRFIELD,CT,06431,,,G190400000,10,10,23,Joseph M. Hogan,19,2004-09-01
2016/03/15,2004/09/14,041029381,2,4,14046607,HOGAN JOSEPH M,4110,GE,369604,10,GENERAL ELECTRIC CO,O,SVP,,,F,D,2004/09/10,33.81,D,4338.0000,33368.0000,,2004/09/14,2004/09/14,2016/03/12,R,F,D,33.81,2004/09/10,A,COM,4338.0000,33368.0000,33.8100,3135 EASTON TPKE,,FAIRFIELD,CT,06431,,,G190400000,10,10,23,Joseph M. Hogan,19,2004-09-01
2016/03/15,2004/09/14,041029381,3,4,14046607,HOGAN JOSEPH M,4110,GE,369604,10,GENERAL ELECTRIC CO,O,SVP,,,8,,2004/09/14,,I,,84.0000,,2004/09/14,2004/09/14,2016/03/12,Y,,,,2004/09/14,,COM,,84.0000,,3135 EASTON TPKE,,FAIRFIELD,CT,06431,,,G190400000,10,10,23,Joseph M. Hogan,19,2004-09-01
2016/03/15,2004/09/14,041029381,4,4,14046607,HOGAN JOSEPH M,4110,GE,369604,10,GENERAL ELECTRIC CO,O,SVP,,,8,,2004/09/14,,I,,17624.0000,,2004/09/14,2004/09/14,2016/03/12,Y,,,,2004/09/14,,COM,,17624.0000,,3135 EASTON TPKE,,FAIRFIELD,CT,06431,,,G190400000,10,10,23,Joseph M. Hogan,19,2004-09-01
2015/09/25,2004/09/16,041031224,1,4,14427,SIMMONS HARRIS H,7737,STR,748356,10,QUESTAR CORP,D,,,,8,,2004/09/15,,D,,14400.0000,,2004/09/15,2004/09/15,2015/09/24,Y,,,,2004/09/15,,COM,,28800.0000,,1 MAIN ST,,SALT LAKE CITY,UT,84111,,,Q234900000,11,02,505,Harris H Simmons,0,2004-09-01
2007/08/17,2004/09/15,041031824,1,4,13100646,MORIKIS JOHN G,8419,SHW,824348,10,SHERWIN WILLIAMS CO,O,OX,,,M,A,2004/09/14,25.06,D,3990.0000,71958.0000,,2004/09/15,2004/09/15,2004/09/15,R,M,A,25.06,2004/09/14,,COM,3990.0000,71958.0000,25.0600,101 PROSPECT AVE N W,,CLEVELAND,OH,44115,,,S332100000,09,02,413,John G. Morikis,0,2004-09-01
2007/08/17,2004/09/15,041031824,2,4,13100646,MORIKIS JOHN G,8419,SHW,824348,10,SHERWIN WILLIAMS CO,O,OX,,,8,,2004/06/30,,I,,12457.4000,,2004/09/15,2004/09/15,2004/09/15,Y,,,,2004/06/30,,COM,,12457.4000,,101 PROSPECT AVE N W,,CLEVELAND,OH,44115,,,S332100000,09,02,413,John G. Morikis,0,2004-06-01
2017/02/09,2004/09/16,041032277,1,4,13000423,SACKS RODNEY CYRIL,4502,MNST,61174X,10,MONSTER BEVERAGE CORP,CEO,CB,OD,,8,,2004/09/15,,I,,1791670.0000,,2004/09/15,2004/09/15,2017/02/07,Y,,,,2004/09/15,,COM,,86000160.0086,,1010 RAILROAD ST,,CORONA,CA,92882,,,M771235953,03,05,319,Rodney Sacks,0,2004-09-01
2017/02/09,2004/09/16,041032277,2,4,13000423,SACKS RODNEY CYRIL,4502,MNST,61174X,10,MONSTER BEVERAGE CORP,CEO,CB,OD,,8,,2004/09/15,,D,,495000.0000,,2004/09/15,2004/09/15,2017/02/07,Y,,,,2004/09/15,,COM,,23760000.0024,,1010 RAILROAD ST,,CORONA,CA,92882,,,M771235953,03,05,319,Rodney Sacks,0,2004-09-01
2017/02/09,2004/09/16,041032277,3,4,13000423,SACKS RODNEY CYRIL,4502,MNST,61174X,10,MONSTER BEVERAGE CORP,CEO,CB,OD,,S,D,2004/09/13,29.57,I,17000.0000,,,2004/09/15,2004/09/15,2017/02/07,R,S,D,29.57,2004/09/13,N,COM,816000.0001,,0.6160,1010 RAILROAD ST,,CORONA,CA,92882,,,M771235953,03,05,319,Rodney Sacks,0,2004-09-01
